NPRI Number	Facility Name	Company Name	Province	City	Address	Postal Code	Rural Address	NAICS Name	NAICS Data Link	2011 Hg Emissions (kg)	2011 Cr(VI) Emissions (kg)	NPRI Data Link 	NAICS2	NAICS3	NAICS4	Latitude	Longitude
0000001464	Sarnia Chemical Plant		Ontario	Sarnia	602 Christina Street South	N7T7M5	0	Petrochemical Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325110	0.40	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001464&amp;amp;amp;opt_report_year=2011	32	325	3251	42.95440000	-82.41530000
0000002660	Hamilton	Columbian Chemicals Canada Ltd.	Ontario	Hamilton	755 Parkdale Avenue North	L8H7N5	0	All Other Basic Inorganic Chemical Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325189	0.03	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002660&amp;amp;amp;opt_report_year=2011	32	325	3251	43.25880000	-79.78430000
0000005808	Cabot Canada Limited	Cabot Canada Limited	Ontario	Sarnia	800 Tashmoo Avenue	N7T7N4	0	All Other Basic Inorganic Chemical Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325189	15.06	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005808&amp;amp;amp;opt_report_year=2011	32	325	3251	42.94370000	-82.41530000
0000005841	Bowmanville Cement Plant	St. Marys Cement Inc.	Ontario	Bowmanville	400 Waverley Road South	L1C3K3	0	Cement Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310	18.39	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005841&amp;amp;amp;opt_report_year=2011	32	327	3273	43.88060000	-78.70050000
0000005850	Bath Cement Plant	Lafarge Canada Inc.	Ontario	Bath	6501 33 Highway	K0H1G0	0	Cement Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310	0.02	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005850&amp;amp;amp;opt_report_year=2011	32	327	3273	44.16640000	-76.80260000
0000005871	St. Marys Cement Plant		Ontario	St. Marys	585 Water Street South	N4X1B6	0	Cement Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310	32.44	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005871&amp;amp;amp;opt_report_year=2011	32	327	3273	43.24260000	-81.14780000
0000003541	Picton Plant	Essroc Canada Inc.	Ontario	Picton	1370 49 Highway South	K0K2T0	0	Cement Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310	9.15	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003541&amp;amp;amp;opt_report_year=2011	32	327	3273	44.05530000	-77.12220000
0000002182	Mississauga Cement Plant	Holcim (Canada) Inc.	Ontario	Mississauga	2391 Lakeshore Road	L5J1K1	0	Cement Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310	18.70	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002182&amp;amp;amp;opt_report_year=2011	32	327	3273	43.49720000	-79.62770000
0000005946	Woodstock Plant	Federal White Cement Ltd.	Ontario	Woodstock	3551551 35th Line	N0J1J0	0	Cement Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310	34.19	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005946&amp;amp;amp;opt_report_year=2011	32	327	3273	43.09890000	-80.89430000
0000011862	Unilock Ltd. (Ayr)	Unilock Ltd.	Ontario	Ayr	2977 Cedar Creek Road	N0B 1E0	0	"Concrete Pipe, Brick & Block Mfg."	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327330	0.26	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000011862&amp;amp;amp;opt_report_year=2011	32	327	3273	43.32860000	-80.45960000
