Station Number	Province	City	Address	Location Type	2011 Average Fine Particulate Matter (µg/m3)	2011 Peak Fine Particulate Matter (µg/m3)	2011 Average Ozone (ppb)	2011 Peak Ozone (ppb)	2011 Sulphur Dioxide (ppb)	2011 Nitrogen Dioxide (ppb)	2011 Volatile Organic Compounds (ppbC)	Latitude	Longitude
90120.00000000	Alberta	Edmonton	6240 113 Street	Urban Residential	9.02	25.92	36.38	64.50	-99.00	11.82	-99.00	53.50000000	-113.53000000
90121.00000000	Alberta	Edmonton	17 Street & 105 Avenue	Urban Industrial	10.00	27.08	33.89	58.88	1.12	14.05	264.04	53.55000000	-113.37000000
90122.00000000	Alberta	Edmonton	13335 127 St	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.59000000	-113.54000000
90130.00000000	Alberta	Edmonton	10255 - 104th Street	Urban Commercial	10.12	28.33	29.64	55.63	-99.00	16.37	75.27	53.54000000	-113.50000000
90131.00000000	Alberta	Sherwood Park	Broadmoor Blvd	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.53000000	-113.32000000
90132.00000000	Alberta	Edmonton	4946-89 Street	Urban Commercial	5.31	17.42	-99.00	-99.00	-99.00	-99.00	-99.00	53.49000000	-113.46000000
90218.00000000	Alberta	Calgary	49 Avenue & 15th Street S.E.	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	51.01000000	-114.03000000
90222.00000000	Alberta	Calgary	39 St. & 29 Ave. N.W.	Urban Residential	8.41	24.40	36.04	56.17	-99.00	11.38	-99.00	51.08000000	-114.15000000
90227.00000000	Alberta	Calgary	611-4th Street S.W.	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	51.05000000	-114.08000000
90228.00000000	Alberta	Calgary	620 7th Ave SW	Urban Commercial	13.33	23.46	31.03	54.25	-99.00	16.00	56.50	51.05000000	-114.08000000
90302.00000000	Alberta	Red Deer	73 Street & Riverside Drive	Urban Commercial	13.71	34.13	32.14	54.13	0.31	11.58	-99.00	52.30000000	-113.79000000
90402.00000000	Alberta	Medicine Hat	12th St NW & Division Ave	Urban Residential	7.88	18.38	39.18	59.38	-99.00	7.27	-99.00	50.05000000	-110.68000000
90502.00000000	Alberta	Lethbridge	                                                            	Urban Residential	6.61	18.50	40.38	60.50	0.13	5.74	-99.00	49.72000000	-112.80000000
90601.00000000	Alberta	Fort Saskatchewan	9209a-96 Ave	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.70000000	-113.22000000
90602.00000000	Alberta	Fort Saskatchewan	Rge Rd 220 & River Road	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	1.03	6.54	-99.00	53.75000000	-113.13000000
90603.00000000	Alberta	Fort Saskatchewan	100 Ave East of 109st.	Urban Industrial	-99.00	-99.00	-99.00	-99.00	0.83	8.00	-99.00	53.72000000	-113.20000000
90604.00000000	Alberta	Fort Saskatchewan	Rge Rd 214 Twp Rd 560	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.79000000	-113.08000000
90605.00000000	Alberta	Fort Saskatchewan	Hwy 636 Rge Rd 223	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.71000000	-113.16000000
90606.00000000	Alberta	Bruderheim	                                                            	Urban Residential	-99.00	-99.00	-99.00	65.63	1.06	6.12	-99.00	53.80000000	-112.93000000
90701.00000000	Alberta	Fort Mcmurray	Franklin Avenue	Urban Residential	-99.00	86.14	29.02	62.75	0.59	11.29	-99.00	56.73000000	-111.39000000
90702.00000000	Alberta	Fort Mcmurray	Timberlea Subdivision	Urban Residential	-99.00	-99.00	32.12	62.38	0.94	6.13	-99.00	56.75000000	-111.48000000
90703.00000000	Alberta	Fort Mcmurray	Millennium	Urban Industrial	12.72	70.13	-99.00	-99.00	1.06	15.19	-99.00	56.89000000	-111.38000000
90801.00000000	Alberta	Fort Mackay	Main Street	Urban Residential	-99.00	132.05	31.33	74.00	1.60	6.61	-99.00	57.19000000	-111.64000000
90802.00000000	Alberta	Fort Mackay	Lower Camp	Rural Forest	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	57.03000000	-111.50000000
90803.00000000	Alberta	Fort Mackay	Syncrude Airstrip	Rural Forest	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	57.05000000	-111.56000000
90804.00000000	Alberta	Fort Mackay	Mannix	Rural Forest	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	56.97000000	-111.48000000
90805.00000000	Alberta	Fort Mackay	Buffalo Viewpoint	Rural Forest	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	57.00000000	-111.59000000
90806.00000000	Alberta	Fort Mackay	Syncrude Ue1	Rural Forest	7.31	49.29	31.35	67.38	1.22	6.26	47.99	57.15000000	-111.64000000
90901.00000000	Alberta	Vegreville	Royal Park	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.58000000	-112.19000000
91001.00000000	Alberta	Esther	Esther	Rural Undeveloped	-99.00	-99.00	39.23	58.25	-99.00	-99.00	-99.00	51.67000000	-110.20000000
91101.00000000	Alberta	Elk Island	National Park	Rural Undeveloped	3.83	12.42	39.68	67.50	-99.00	-99.00	-99.00	53.68000000	-112.87000000
91201.00000000	Alberta	Hightower Ridge	SE 11 54 2 W6	Rural Forest	1.70	7.42	48.51	66.38	0.08	0.98	-99.00	53.65000000	-118.18000000
91301.00000000	Alberta	Tomahawk	SE 2 51 6 W5	Rural Agricultural	3.27	11.04	39.41	61.75	0.55	4.18	-99.00	53.37000000	-114.77000000
91401.00000000	Alberta	Violet Grove	SE 17 48 08 W5	Rural Agricultural	-99.00	-99.00	40.84	62.50	0.43	4.48	-99.00	53.14000000	-115.14000000
91501.00000000	Alberta	Beaverlodge	Beaverlodge Research Farm	Rural Agricultural	6.75	19.42	36.68	60.88	0.27	3.13	-99.00	55.20000000	-119.40000000
91601.00000000	Alberta	Carrot Creek	SE 31 53 13 W5	Rural Agricultural	-99.00	-99.00	38.04	58.25	0.28	4.69	-99.00	53.62000000	-115.86000000
91701.00000000	Alberta	Steeper	NE 12 48 22 W5	Rural Forest	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.13000000	-117.09000000
91801.00000000	Alberta	Fort Chipewyan	Fort Chipewyan	Rural Undeveloped	3.21	12.88	33.22	58.00	0.27	1.06	-99.00	58.71000000	-111.18000000
91901.00000000	Alberta	Caroline	16-30-034-5 W5	Rural Agricultural	4.20	13.00	39.93	59.00	0.59	2.15	-99.00	51.95000000	-114.70000000
92001.00000000	Alberta	Grande Prairie	10327 - 107 Avenue	Urban Residential	-99.00	-99.00	33.13	58.13	0.22	9.01	-99.00	55.00000000	-118.79000000
92101.00000000	Alberta	Bitumount	Albian Mine Site	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	57.28000000	-111.53000000
92102.00000000	Alberta	Bitumount	Albian Muskeg River	Urban Industrial	7.96	51.88	-99.00	-99.00	1.25	12.21	-99.00	57.25000000	-111.51000000
92201.00000000	Alberta	Lamont	Rge Rd 203 & Twp Rd 550	Rural Agricultural	-99.00	-99.00	40.51	64.38	1.13	3.78	-99.00	53.76000000	-112.88000000
92301.00000000	Alberta	Redwater	Hwy 643, South of Twp Rd 564	Urban Industrial	5.42	20.50	-99.00	-99.00	4.54	7.63	-99.00	53.84000000	-113.10000000
92601.00000000	Alberta	Breton	Hwy 20	Urban Residential	-99.00	-99.00	40.36	64.38	0.22	3.48	-99.00	53.09000000	-114.46000000
92801.00000000	Alberta	Drayton Valley	48 Ave	Urban Residential	7.29	14.38	-99.00	-99.00	-99.00	-99.00	-99.00	53.22000000	-114.97000000
92901.00000000	Alberta	Edson	7 Ave	Urban Residential	3.83	11.58	-99.00	-99.00	-99.00	-99.00	-99.00	53.59000000	-116.43000000
93001.00000000	Alberta	Grande Prairie	                                                            	Urban Residential	5.10	15.58	-99.00	-99.00	0.26	-99.00	-99.00	55.12000000	-118.73000000
93101.00000000	Alberta	Thorsby	Range Road 15	Urban Residential	3.58	11.17	35.18	58.75	0.66	2.79	-99.00	53.30000000	-114.22000000
93202.00000000	Alberta	Hinton	Private Road	Urban Residential	7.95	14.67	-99.00	-99.00	-99.00	-99.00	-99.00	53.43000000	-117.54000000
93801.00000000	Alberta	Warburg	Range Road 34	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	0.56	7.82	-99.00	53.53000000	-114.64000000
93901.00000000	Alberta	Thorsby	Range Road 11	Rural Agricultural	3.66	11.38	-99.00	-99.00	0.26	3.95	-99.00	53.63000000	-114.42000000
94001.00000000	Alberta	Debolt	Goodwin Road	Urban Residential	4.03	16.27	-99.00	-99.00	0.42	-99.00	-99.00	55.41000000	-118.28000000
94201.00000000	Alberta	Sunnybrook	Range Road 24	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.38000000	-114.41000000
94202.00000000	Alberta	Sunnybrook	                                                            	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	0.74	5.11	-99.00	53.49000000	-114.45000000
94301.00000000	Alberta	Cold Lake	15 Ave	Urban Residential	-99.00	-99.00	35.09	59.43	0.27	3.91	-99.00	54.46000000	-110.17000000
94401.00000000	Alberta	Anzac	                                                            	Urban Residential	6.00	16.17	35.99	57.25	0.20	1.72	-99.00	56.45000000	-111.04000000
100110.00000000	British Columbia	Metro Van - Burnaby	6400 E. Hastings & Kensington	Urban Residential	3.58	8.71	23.47	42.13	1.11	11.21	-99.00	49.28000000	-122.97000000
100111.00000000	British Columbia	Metro Van - Port Moody	Moody & Esplanade Port Moody	Urban Industrial	4.50	10.25	23.90	44.13	1.12	12.54	90.75	49.28000000	-122.85000000
100112.00000000	British Columbia	Metro Van - Vancouver	Robson/Hornby	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.28000000	-123.12000000
100118.00000000	British Columbia	Metro Van - Vancouver	2550 West 10th Avenue	Urban Residential	4.31	9.29	24.95	44.75	1.55	16.70	-99.00	49.26000000	-123.16000000
100119.00000000	British Columbia	Metro Van - Burnaby	5455 Rumble Street	Urban Residential	3.77	9.17	24.79	41.38	0.59	14.01	44.16	49.22000000	-122.99000000
100120.00000000	British Columbia	Metro Van - Burnaby	Pandora & Alpha St. Burnaby	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.28000000	-123.00000000
100121.00000000	British Columbia	Metro Van - Vancouver	75 Riverside Dr. N. Vancouver	Urban Residential	4.53	9.58	22.30	40.00	2.00	13.27	-99.00	49.30000000	-123.02000000
100122.00000000	British Columbia	Metro Van - Port Moody	Elementary Road Anmore	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.31000000	-122.86000000
100124.00000000	British Columbia	Metro Van - Port Moody	475 Guildford Way Port Moody	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.28000000	-122.82000000
100125.00000000	British Columbia	Metro Van - Delta	8544 116th Ave. Delta	Urban Residential	-99.00	-99.00	25.46	44.86	-99.00	13.34	-99.00	49.16000000	-122.90000000
100126.00000000	British Columbia	Metro Van - Burnaby	Sfu, University Drive W	Urban Residential	-99.00	-99.00	32.68	47.63	-99.00	8.08	-99.00	49.28000000	-122.92000000
100127.00000000	British Columbia	Metro Van - Surrey	19000 & 72nd Ave. Surrey	Urban Residential	4.20	9.25	28.24	48.63	-99.00	9.64	-99.00	49.13000000	-122.69000000
100128.00000000	British Columbia	Metro Van - Richmond	Williams & Aragon Richmond	Urban Residential	4.43	10.79	26.71	45.00	0.54	13.08	-99.00	49.14000000	-123.11000000
100129.00000000	British Columbia	Metro Van - Port Coquitlam	Hamilton & Paisley	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.28000000	-122.73000000
100131.00000000	British Columbia	Metro Van - Vancouver	Seymor Falls North Vancouver	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.44000000	-122.97000000
100132.00000000	British Columbia	Metro Van - Vancouver	16th St. & Jones Ave North Van	Urban Residential	-99.00	-99.00	25.17	44.75	1.37	11.34	-99.00	49.32000000	-123.08000000
100133.00000000	British Columbia	Metro Van - Burnaby	7815 Shellmount	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	145.94	49.27000000	-122.94000000
100134.00000000	British Columbia	Metro Van - Richmond	3153 Templeton Street	Urban Residential	4.24	10.71	25.57	42.00	0.79	14.29	49.14	49.19000000	-123.15000000
100135.00000000	British Columbia	Metro Van - Coquitlam	1250 Pinetree Way	Urban Residential	-99.00	-99.00	25.90	45.13	-99.00	10.65	-99.00	49.29000000	-122.79000000
100136.00000000	British Columbia	Metro Van - Burnaby	Grosvenor Cresent - Burnaby	Urban Residential	-99.00	-99.00	-99.00	-99.00	1.63	-99.00	-99.00	49.29000000	-122.99000000
100137.00000000	British Columbia	Metro Van - Burnaby	Eton and Madison Ave Burnaby	Urban Residential	-99.00	-99.00	-99.00	-99.00	2.91	-99.00	414.93	49.29000000	-123.01000000
100138.00000000	British Columbia	Metro Van - Vancouver West	6350 Marine Drive	Urban Residential	3.60	7.71	-99.00	-99.00	-99.00	-99.00	-99.00	49.37000000	-123.28000000
100139.00000000	British Columbia	Metro Van - North Vancouver	1221 West 15th St	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.32000000	-123.11000000
100202.00000000	British Columbia	Prince George	1011 4th Avenue	Urban Commercial	5.11	18.00	30.28	54.63	1.90	10.11	63.32	53.91000000	-122.74000000
100205.00000000	British Columbia	Prince George	Gladstone School	Urban Residential	4.09	15.46	-99.00	-99.00	1.07	-99.00	-99.00	53.86000000	-122.76000000
100210.00000000	British Columbia	Prince George	                                                            	Urban Residential	-99.00	-99.00	-99.00	-99.00	3.18	-99.00	-99.00	53.90000000	-122.70000000
100211.00000000	British Columbia	Prince George	775 E Highway 16	Urban Residential	-99.00	-99.00	-99.00	-99.00	3.25	-99.00	-99.00	53.91000000	-122.71000000
100212.00000000	British Columbia	Prince George	8901 Penn Rd		-99.00	-99.00	-99.00	-99.00	0.63	-99.00	-99.00	53.84000000	-122.73000000
100213.00000000	British Columbia	Prince George	1885 Foreman Rd		5.46	14.46	-99.00	-99.00	-99.00	-99.00	-99.00	53.94000000	-122.68000000
100214.00000000	British Columbia	Prince George	333 Becott Place		4.64	16.54	-99.00	-99.00	-99.00	-99.00	-99.00	53.91000000	-122.73000000
100303.00000000	British Columbia	Victoria	1250 Quadra St.	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	48.42000000	-123.36000000
100304.00000000	British Columbia	Victoria	923 Topaz	Urban Commercial	7.63	22.92	23.26	40.75	1.37	9.04	-99.00	48.43000000	-123.36000000
100307.00000000	British Columbia	Victoria	2005 Sooke Road	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	48.43000000	-123.47000000
100308.00000000	British Columbia	Victoria	3300 Wishart Road	Urban Commercial	8.08	20.00	30.80	48.14	1.01	4.60	-99.00	48.42000000	-123.49000000
100314.00000000	British Columbia	Victoria	Tsartlip Band Property	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	48.58000000	-123.44000000
100315.00000000	British Columbia	Victoria	DND Property at Rocky Point	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	48.31000000	-123.56000000
100316.00000000	British Columbia	Victoria	2363 Setchfield Ave	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	48.47000000	-123.51000000
100401.00000000	British Columbia	Kamloops	317 Seymour St.	Urban Commercial	7.68	18.42	-99.00	-99.00	0.77	-99.00	-99.00	50.67000000	-120.33000000
100402.00000000	British Columbia	Kamloops	Mayfair Street	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	50.70000000	-120.40000000
100701.00000000	British Columbia	Kelowna	3333 College Way	Urban Commercial	3.97	11.79	34.15	53.50	0.22	7.38	-99.00	49.86000000	-119.47000000
100801.00000000	British Columbia	Keremos	702 - 4th St	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.20000000	-119.83000000
101002.00000000	British Columbia	Metro Van - Abbotsford	33660 South Fraser Highway	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.05000000	-122.29000000
101003.00000000	British Columbia	Metro Van - Abbotsford	32995 Bevan Ave.	Urban Residential	3.79	9.88	28.21	49.75	0.21	8.71	-99.00	49.04000000	-122.31000000
101004.00000000	British Columbia	Metro Van - Abbotsford	31790 Walmsley Avenue	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.03000000	-122.34000000
101101.00000000	British Columbia	Metro Van-Chilliwack	46244 Airport Road	Urban Residential	4.16	10.00	27.32	50.00	-99.00	8.13	33.72	49.16000000	-121.94000000
101202.00000000	British Columbia	Metro Van-pitt Meadows	18477 Dewdny Trunk	Urban Residential	3.97	10.33	28.31	47.25	0.30	7.23	-99.00	49.25000000	-122.71000000
101301.00000000	British Columbia	Metro Van-Langley	23752 52nd Avenue	Rural Undeveloped	4.38	12.75	29.32	48.13	0.15	6.27	-99.00	49.10000000	-122.57000000
101401.00000000	British Columbia	Metro Van-Hope	62715 Airport Road	Rural Undeveloped	3.28	8.58	28.11	50.00	-99.00	7.17	-99.00	49.37000000	-121.50000000
101501.00000000	British Columbia	Metro Van - Maple Ridge	23124 118th Avenue	Urban Residential	-99.00	-99.00	28.36	50.13	-99.00	7.57	-99.00	49.22000000	-122.58000000
101601.00000000	British Columbia	Squamish	38075 2nd Avenue	Urban Residential	-99.00	-99.00	25.98	45.25	0.87	6.67	-99.00	49.71000000	-123.15000000
101701.00000000	British Columbia	Quesnel	585 Callanan Street	Urban Residential	6.48	17.83	29.29	51.63	0.42	9.74	-99.00	52.98000000	-122.49000000
101702.00000000	British Columbia	Quesnel	950 Mountain Ash Road	Urban Residential	6.26	20.91	-99.00	-99.00	-99.00	-99.00	-99.00	52.96000000	-122.45000000
101703.00000000	British Columbia	Quesnel	501 Pinecrest Road	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.00000000	-122.51000000
101704.00000000	British Columbia	Quesnel	Correlieu School	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	52.97000000	-122.52000000
101801.00000000	British Columbia	Creston	Prince Charles Secondary School	Urban Residential	4.20	11.67	-99.00	-99.00	-99.00	-99.00	-99.00	49.09000000	-116.51000000
101803.00000000	British Columbia	Creston	Canada/US Border	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.01000000	-116.53000000
102001.00000000	British Columbia	Saturna	Saturna	Rural Forest	-99.00	-99.00	32.62	48.38	-99.00	-99.00	10.74	48.78000000	-123.13000000
102102.00000000	British Columbia	Nanaimo	280 Labieux Road	Urban Residential	3.23	7.71	28.61	45.43	0.94	7.36	-99.00	49.20000000	-123.99000000
102201.00000000	British Columbia	Trail	Butler Park	Urban Residential	-99.00	-99.00	-99.00	-99.00	8.75	-99.00	-99.00	49.10000000	-117.70000000
102202.00000000	British Columbia	Trail	Trail West	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.09000000	-117.70000000
102301.00000000	British Columbia	Powell River	Wildlife Sanctuary	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	2.24	-99.00	49.88000000	-124.52000000
102302.00000000	British Columbia	Powell River	Wildwood Motors	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.89000000	-124.56000000
102303.00000000	British Columbia	Powell River	6388 Sutherland Drive		-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.89000000	-124.56000000
102401.00000000	British Columbia	Smithers	4020 Broadway Avenue	Urban Residential	5.14	16.63	28.78	50.29	-99.00	-99.00	-99.00	54.78000000	-127.18000000
102501.00000000	British Columbia	Terrace	104 - 3220 Eby Street	Urban Residential	2.66	8.25	-99.00	-99.00	-99.00	-99.00	-99.00	54.52000000	-128.60000000
102602.00000000	British Columbia	Port Alberni	4645 Helen Street		7.95	24.82	-99.00	-99.00	-99.00	-99.00	-99.00	49.26000000	-124.81000000
102701.00000000	British Columbia	Williams Lake	1045 Western Avenue	Urban Residential	4.49	13.54	31.75	52.75	-99.00	9.65	-99.00	52.14000000	-122.15000000
102702.00000000	British Columbia	Williams Lake	Skyline School	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	52.12000000	-122.13000000
102706.00000000	British Columbia	Williams Lake	180 North 3rd Ave	Urban Residential	4.26	12.21	-99.00	-99.00	-99.00	-99.00	-99.00	52.13000000	-122.14000000
102801.00000000	British Columbia	Campbell River	Adjacent to 660 Westmere	Urban Residential	3.50	9.58	27.60	43.86	-99.00	5.27	-99.00	50.02000000	-125.25000000
102802.00000000	British Columbia	Campbell River	2662 Tyee Spit Road	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	50.05000000	-125.26000000
103202.00000000	British Columbia	Golden	835 9th Avenue South	Urban Residential	5.99	15.35	-99.00	-99.00	-99.00	-99.00	-99.00	51.30000000	-116.97000000
103203.00000000	British Columbia	Golden	CPR Yard	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	51.27000000	-116.93000000
103204.00000000	British Columbia	Golden	576 Golf Course Road	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	51.33000000	-117.01000000
103205.00000000	British Columbia	Golden	835 9th Avenue South	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	51.30000000	-116.97000000
103302.00000000	British Columbia	Nelson	333 Victoria St.	Urban Residential	3.81	9.96	31.70	51.86	-99.00	-99.00	-99.00	49.49000000	-117.30000000
103402.00000000	British Columbia	Revelstoke	402 Downie Street	Urban Residential	4.84	11.67	-99.00	-99.00	-99.00	-99.00	-99.00	50.99000000	-118.19000000
103702.00000000	British Columbia	Chetwynd	Gas Plant Site	Urban Residential	-99.00	-99.00	-99.00	-99.00	6.44	-99.00	-99.00	55.58000000	-121.92000000
103703.00000000	British Columbia	Chetwynd	                                                            	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	55.61000000	-121.97000000
103704.00000000	British Columbia	Chetwynd	Pine River Gas Plant	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	55.61000000	-121.97000000
103901.00000000	British Columbia	Kitimat	653 Columbia Street	Urban Residential	2.30	6.58	-99.00	-99.00	-99.00	-99.00	-99.00	54.06000000	-128.67000000
103902.00000000	British Columbia	Kitimat	Haulage Road	Urban Industrial	3.08	7.63	-99.00	-99.00	1.22	-99.00	-99.00	54.03000000	-128.70000000
103903.00000000	British Columbia	Kitimat	CN Rail Yard	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	54.06000000	-128.69000000
103904.00000000	British Columbia	Kitimat	1332 Lahadas Blvd North	Urban Residential	1.48	5.08	-99.00	-99.00	-99.00	-99.00	-99.00	54.07000000	-128.64000000
103905.00000000	British Columbia	Kitimat	347 Haisla Ave.	Urban Residential	1.89	5.54	-99.00	-99.00	0.19	-99.00	-99.00	53.97000000	-128.65000000
103906.00000000	British Columbia	Kitimat	#1 Smeltersite Road	Urban Industrial	9.79	20.83	-99.00	-99.00	5.67	-99.00	-99.00	54.02000000	-128.70000000
104003.00000000	British Columbia	Vernon	2704 Highway 6	Urban Residential	4.89	13.13	29.60	50.57	0.46	10.14	-99.00	50.23000000	-119.28000000
104101.00000000	British Columbia	Grand Forks	City Hall	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.03000000	-118.44000000
104301.00000000	British Columbia	Taylor	Mcmahon Complex	Urban Residential	-99.00	-99.00	-99.00	-99.00	1.51	-99.00	-99.00	56.15000000	-120.69000000
104302.00000000	British Columbia	Taylor	Pingle Creek Road	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	56.11000000	-120.66000000
104501.00000000	British Columbia	Quadra Island	Lighthouse Road	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	50.00000000	-125.19000000
104601.00000000	British Columbia	Telkwa	1304 Birch Street	Urban Residential	4.56	16.22	-99.00	-99.00	-99.00	-99.00	-99.00	54.69000000	-127.05000000
104801.00000000	British Columbia	Duncan	6364 Deykin Avenue	Urban Residential	3.80	10.71	-99.00	-99.00	-99.00	-99.00	-99.00	48.80000000	-123.64000000
104803.00000000	British Columbia	Duncan	490 Cairnsmore St	Urban Residential	10.77	30.96	27.81	46.88	-99.00	5.18	-99.00	48.78000000	-123.72000000
105001.00000000	British Columbia	Whistler	Meadow Park	Urban Residential	3.29	9.38	31.98	51.13	-99.00	5.14	-99.00	50.14000000	-122.96000000
105101.00000000	British Columbia	Houston	Firehall	Urban Residential	4.69	17.75	-99.00	-99.00	-99.00	-99.00	-99.00	54.40000000	-126.64000000
105201.00000000	British Columbia	Burns Lake	Fire Centre	Urban Residential	4.27	13.91	-99.00	-99.00	-99.00	-99.00	-99.00	54.23000000	-125.76000000
105301.00000000	British Columbia	Langdale	Forres Road	Urban Residential	-99.00	-99.00	-99.00	-99.00	1.01	5.06	-99.00	49.44000000	-123.49000000
105501.00000000	British Columbia	Fort St. John	10015 100th Avenue	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	56.25000000	-120.85000000
105601.00000000	British Columbia	Osoyoos	6601 89th Street	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.04000000	-119.44000000
105604.00000000	British Columbia	Osoyoos	202 Hwy 97 South	Urban Residential	-99.00	-99.00	36.52	53.50	-99.00	2.72	-99.00	49.00000000	-119.46000000
106401.00000000	British Columbia	Robson	3113 Charleston Road	Urban Residential	-99.00	-99.00	-99.00	-99.00	3.32	-99.00	-99.00	49.34000000	-117.70000000
106502.00000000	British Columbia	Fort Nelson	Chalo Road (First Nations Reserve)	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	58.75000000	-122.66000000
106700.00000000	British Columbia	Crofton	1821 Escarpment Way	Urban Industrial	3.38	7.75	-99.00	-99.00	1.26	-99.00	-99.00	48.84000000	-123.66000000
106701.00000000	British Columbia	Crofton	8541 Hay St.	Urban Industrial	-99.00	-99.00	-99.00	-99.00	1.31	-99.00	-99.00	48.88000000	-123.65000000
106800.00000000	British Columbia	Ucluelet	Coast Guard Drive	Urban Residential	-99.00	37.04	-99.00	-99.00	-99.00	0.81	-99.00	48.92000000	-125.54000000
106900.00000000	British Columbia	Vanderhoof	2441 Bute Road	Urban Residential	9.92	33.54	-99.00	-99.00	-99.00	-99.00	-99.00	54.02000000	-124.01000000
107000.00000000	British Columbia	Port Alice	1090 Marine Road	Urban Commercial	-99.00	33.25	-99.00	-99.00	8.01	-99.00	-99.00	50.43000000	-127.49000000
107001.00000000	British Columbia	Port Alice	Lake Road	Urban Industrial	-99.00	-99.00	-99.00	-99.00	4.05	-99.00	-99.00	50.37000000	-127.43000000
107100.00000000	British Columbia	Courtenay	1540 Mcphee Ave	Urban Residential	-99.00	29.39	-99.00	-99.00	-99.00	-99.00	-99.00	49.68000000	-125.00000000
