Station Number	Province	City	Address	Location Type	2011 Average Fine Particulate Matter (µg/m3)	2011 Peak Fine Particulate Matter (µg/m3)	2011 Average Ozone (ppb)	2011 Peak Ozone (ppb)	2011 Sulphur Dioxide (ppb)	2011 Nitrogen Dioxide (ppb)	2011 Volatile Organic Compounds (ppbC)	Latitude	Longitude
61603.00000000	Ontario	Oakville	8th Line/Glenashton Dr.; Halton Reserve	Urban Residential	6.33	17.71	36.78	66.63	-99.00	10.32	-99.00	43.49000000	-79.70000000
61701.00000000	Ontario	Oshawa	Ritson Rd. & Olive Ave.	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	43.89000000	-78.85000000
61702.00000000	Ontario	Oshawa	2200 Simcoe Street North	Urban Residential	5.42	17.46	35.80	65.50	-99.00	6.96	-99.00	43.95000000	-78.89000000
61802.00000000	Ontario	Guelph	70 Division Street; Exhibition Park	Urban Residential	5.86	17.33	38.82	69.38	-99.00	7.29	-99.00	43.55000000	-80.26000000
61902.00000000	Ontario	Wallaceburg	8147 Meadowvale Line	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	42.54000000	-82.39000000
62001.00000000	Ontario	North Bay	Chippewa St.	Urban Residential	4.22	12.83	35.64	62.88	-99.00	7.44	-99.00	46.32000000	-79.45000000
62201.00000000	Ontario	Merlin	MOE Water Pump Stn.	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	42.24000000	-82.22000000
62401.00000000	Ontario	Parkhill	Puc Bldg.	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	43.17000000	-81.68000000
62501.00000000	Ontario	Tiverton	Bruce Nuclear Visitor Ctr	Rural Undeveloped	4.70	15.83	39.26	71.63	-99.00	2.50	-99.00	44.31000000	-81.55000000
62601.00000000	Ontario	Simcoe	Experimental Farm	Rural Agricultural	6.29	18.46	41.70	77.88	-99.00	4.16	-99.00	42.86000000	-80.27000000
62701.00000000	Ontario	Long Point	Provincial Park	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	42.58000000	-80.38000000
63001.00000000	Ontario	Burlington	Hwy 2 & North Shore Blvd.	Urban Residential	6.22	19.21	36.02	65.75	-99.00	11.81	-99.00	43.32000000	-79.80000000
63201.00000000	Ontario	Stouffville	Hwy 47 & Hwy 48	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	43.96000000	-79.27000000
63301.00000000	Ontario	Dorset	Hwy 117 & Paint Lake Road	Rural Forest	4.12	13.86	36.04	62.00	-99.00	-99.00	-99.00	45.22000000	-78.93000000
63601.00000000	Ontario	Longwoods	Longwoods Cons. Authority	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	18.42	42.88000000	-81.48000000
63701.00000000	Ontario	Grand Bend	Hwy 21 & County Rd 83	Rural Undeveloped	6.08	18.88	41.82	78.75	-99.00	3.63	-99.00	43.33000000	-81.74000000
64001.00000000	Ontario	Exp. Lakes Area	Exp. Lakes Area	Rural Forest	-99.00	-99.00	38.60	56.75	-99.00	-99.00	-99.00	49.66000000	-93.72000000
64101.00000000	Ontario	Algoma	Algoma	Rural Forest	-99.00	-99.00	36.49	59.88	-99.00	-99.00	-99.00	47.03000000	-84.38000000
64401.00000000	Ontario	Egbert	Egbert	Rural Agricultural	-99.00	-99.00	38.62	66.25	-99.00	-99.00	-99.00	44.23000000	-79.78000000
64502.00000000	Ontario	Fort Frances	Armit Ave. & Forth St. E.	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	48.63000000	-93.38000000
64601.00000000	Ontario	Pt. Petre	Pt. Petre	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	43.84000000	-77.16000000
65001.00000000	Ontario	Barrie	85 Perry Street	Urban Residential	5.69	17.54	34.56	58.75	-99.00	8.64	-99.00	44.39000000	-79.70000000
65101.00000000	Ontario	Newmarket	Eagle St. & McCaffrey Rd.	Urban Residential	5.46	18.13	36.99	68.38	-99.00	8.07	-99.00	44.04000000	-79.48000000
65201.00000000	Ontario	Parry Sound	7 Bay Street	Urban Residential	4.68	17.08	38.16	66.88	-99.00	3.59	-99.00	45.34000000	-80.04000000
65301.00000000	Ontario	Port Stanley	43665 Dexter Line	Urban Commercial	6.01	18.22	42.00	78.75	-99.00	-99.00	-99.00	42.67000000	-81.16000000
65401.00000000	Ontario	Belleville	2 Sidney Street	Urban Residential	4.80	14.63	37.00	72.38	-99.00	6.33	-99.00	44.15000000	-77.40000000
65601.00000000	Ontario	Essex	360 Fairview Ave. W.	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	42.16000000	-82.83000000
65701.00000000	Ontario	Morrisburg	County Rd.2 / Morrisgurg Water Tower	Urban Commercial	5.19	15.50	35.86	64.88	-99.00	-99.00	-99.00	44.90000000	-75.19000000
65801.00000000	Ontario	Chatham	435 Grand Avenue W.	Urban Commercial	6.54	19.17	39.27	74.63	-99.00	6.58	-99.00	42.40000000	-82.21000000
65901.00000000	Ontario	Pickle Lake	Pickle Lake	Rural Undeveloped	-99.00	-99.00	36.00	57.25	-99.00	-99.00	-99.00	51.45000000	-90.22000000
66001.00000000	Ontario	Fraserdale	Fraserdale	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.88000000	-81.57000000
66101.00000000	Ontario	Moonbeam	Bonner Lake	Rural Undeveloped	-99.00	-99.00	33.24	53.63	-99.00	-99.00	-99.00	49.39000000	-82.12000000
66201.00000000	Ontario	Chalk River (Petawawa)		Rural Forest	3.35	10.79	34.10	55.88	-99.00	-99.00	-99.00	46.00000000	-77.44000000
20101.00000000	Prince Edward Island	Charlottetown	56 Fitzroy St.	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	46.24000000	-63.13000000
20201.00000000	Prince Edward Island	North Cape	North Cape	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	47.05000000	-64.00000000
50102.00000000	Quebec	Montréal	Boul. Rosemont	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	45.56000000	-73.57000000
